,iyear,imonth,iday,country_txt,city,success,attacktype1_txt,targtype1_txt,natlty1_txt,gname,motive
263,2012,2,23,Iraq,Balad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
264,2012,2,23,Iraq,Baiji,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
265,2012,2,23,Iraq,Dujail,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
266,2012,2,23,Iraq,Tuz Khormato,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
267,2012,2,23,Iraq,Sulayman Beg,1,Armed Assault,Government (General),Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
268,2012,2,23,Iraq,Baqubah,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
269,2012,2,23,Iraq,Jalawla,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
270,2012,2,23,Iraq,Musayyib,1,Bombing/Explosion,Educational Institution,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
271,2012,2,23,Iraq,Kirkuk,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
272,2012,2,23,Iraq,Kirkuk,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
273,2012,2,23,Iraq,Mosul,1,Armed Assault,Military,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
274,2012,2,23,Iraq,Mosul,1,Bombing/Explosion,Food or Water Supply,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
275,2012,2,23,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
276,2012,2,23,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
277,2012,2,23,Iraq,Taji,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
278,2012,2,23,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
279,2012,2,23,Iraq,Hillah,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
280,2012,2,23,Iraq,Al-Nile,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
281,2012,2,23,Iraq,Baghdad,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
282,2012,2,23,Iraq,Madain,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
283,2012,2,23,Iraq,Mosul,1,Bombing/Explosion,Telecommunication,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
284,2012,2,23,Iraq,Mosul,1,Bombing/Explosion,Telecommunication,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
285,2012,2,23,Iraq,Balad Ruz,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
286,2012,2,23,Iraq,Riyadh district,1,Bombing/Explosion,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
287,2012,2,23,Iraq,Riyadh district,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
288,2012,2,23,Iraq,Baqubah,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
289,2012,2,23,Iraq,Baqubah,1,Bombing/Explosion,Police,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
290,2012,2,23,Iraq,Baghdad,1,Unknown,Private Citizens & Property,Iraq,Al-Qaida in Iraq,"Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities."""
291,2012,3,28,Nigeria,Damagum,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Abu Qaqa, a Boko Haram spokesperson, claimed responsibility and stated that the attack was designed to free one of the group's members who had been imprisoned in the police station.  Abu Qaqa also further stated that the attack was carried out because police and security forces are always considered targets by the group."
292,2012,4,26,Nigeria,Abuja,1,Bombing/Explosion,Journalists & Media,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack and stated that the group targeted the newspapers because it objected to how Boko Haram was being represented in media reports."
293,2012,2,20,Nigeria,Maiduguri,1,Bombing/Explosion,Private Citizens & Property,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack on the fish market, stating that traders at the market were targeted because they had arrested some of the group's members and handed them over to the Joint Task Force (JTF) of the Nigerian Army."
294,2012,6,10,Nigeria,Jos,1,Bombing/Explosion,Religious Figures/Institutions,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack, stating that it was carried out in direct response to claims by the Nigerian government that recent military action had weakened the group."
295,2012,6,10,Nigeria,Biu,1,Armed Assault,Religious Figures/Institutions,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack, stating that it was carried out in direct response to claims by the Nigerian government that recent military action had weakened the group."
296,2012,7,30,Nigeria,Sokoto,1,Bombing/Explosion,Police,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed the attack in an email sent to journalists, stating that Sokoto was targeted because many Boko Haram members are imprisoned there."
297,2012,7,30,Nigeria,Sokoto,1,Bombing/Explosion,NGO,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed the attack in an email sent to journalists, stating that Sokoto was targeted because many Boko Haram members are imprisoned there."
298,2012,7,30,Nigeria,Sokoto,0,Bombing/Explosion,Police,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed the attack in an email sent to journalists, stating that Sokoto was targeted because many Boko Haram members are imprisoned there."
299,2012,7,30,Nigeria,Damaturu,1,Armed Assault,Police,Nigeria,Boko Haram,"Abu Qaqa, a spokesperson for Boko Haram, claimed the attack in an email sent to journalists, stating that Sokoto was targeted because many Boko Haram members are imprisoned there."
300,2004,3,14,Israel,Ashdod,1,Bombing/Explosion,Maritime,Israel,Hamas (Islamic Resistance Movement),"Abu Qusay, a Al-Aqsa Martyrs Brigade leader in Gaza, said that the attack was meant to show that the group could ""reach any place in Israel, even the heavily protected places, such as a port or airport."""
301,2012,6,26,Pakistan,Peshawar,1,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Pakistan,Lashkar-e-Islam (Pakistan),"Abu Rasheed Lashkari, a Lashkar-e-Islam (Pakistan) spokesperson, claimed responsibility for the attack and stated that the victim, a leader of an anti-Taliban militia, was targeted in revenge for the killing of eight of the group's members.  In a competing claim, Ehsanullah Ehsan, a spokesperson for the Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the attack and stated that the victim was targeted because he had raised an anti-Taliban militia and was actively working against the group."
302,2013,7,20,Pakistan,Karachi,1,Assassination,Government (General),Pakistan,Lashkar-e-Jhangvi,"Abu Safian, spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the incident, stating that they targeted Matanat Ali Khan because he and the prison management system were responsible for torturing some of their imprisoned members."
303,2013,2,6,Mali,Unknown,1,Bombing/Explosion,Private Citizens & Property,Mali,Movement for Oneness and Jihad in West Africa (MUJAO),"Abu Walid Sahroui, spokesperson for the Movement for Oneness and Jihad in West Africa (MUJAO), claimed responsibility for the attack, stating that the group was creating ""a new combat zone""."
304,2014,3,28,Somalia,Barawe,1,Hostage Taking (Kidnapping),Private Citizens & Property,Somalia,Al-Shabaab,"Abu-Abdalla, a spokesperson for Al-Shabaab, claimed responsibility and stated that the three individuals were executed because they were spies that worked for the Somali government."
305,2013,5,7,Nigeria,Bama,1,Hostage Taking (Kidnapping),Private Citizens & Property,Nigeria,Boko Haram,"Abubakar Shekau, a Boko Haram spokesperson, claimed responsibility for the attack and stated that the women and children were kidnapped in retaliation for the detention of wives and children of Boko Haram members by the Nigerian military."
306,2014,4,14,Nigeria,Abuja,1,Bombing/Explosion,Transportation,Nigeria,Boko Haram,"Abubakar Shekau, the leader of Boko Haram, claimed responsibility for the blast, stating that the attack was in retaliation for Nigeria's cooperation with the United States in killing Muslims."
307,2013,4,23,Pakistan,Quetta,1,Bombing/Explosion,Military,Pakistan,Lashkar-e-Jhangvi,"Abubakar Siddiq, spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the incident, stating that they were targeting the Shiite Muslim community and avenging the death of Matiullah Samiullah."
308,2012,2,4,Nigeria,Brass,1,Bombing/Explosion,Utilities,Nigeria,Movement for the Emancipation of the Niger Delta (MEND),"According to a claim of responsibility purportedly made by the Movement for the Emancipation of the Niger Delta (MEND), the attack was the first in a campaign to make themselves known, end oil production in Nigeria, and drive out oil companies. The asserted goal was the realization of a more equitable distribution of national oil wealth, particularly for citizens living in the Niger Delta region. The claim maintained that they had been warning citizens about Nigerian leadership, especially President Goodluck Jonathan, whom they accused of wasting public funds and failing to address the nation's and citizens' hardships. Furthermore, South African interests were threatened due to allegations that President Jacob Zuma interfered with efforts to achieve more equitable distribution of wealth and because an alleged MEND leader was imprisoned in the country."
309,2012,10,23,Italy,Fermo,1,Bombing/Explosion,Government (General),Italy,Anarchists,"According to a leaflet found at the scene of the attack, an unidentified anarchist group claimed responsibility for the incident, stating simply, ""Free the Jailed Anarchists."""
310,2013,7,3,India,Venkatapuram,1,Armed Assault,Private Citizens & Property,India,Communist Party of India - Maoist (CPI-Maoist),"According to a letter discovered at the scene, Kiran, the district secretary of the Communist Party of India - Maoist (CPI-Maoist), claimed responsibility for the incident, stating that the CPI-Maoist targeted Bhagat because he was working as a police informant. Moreover, the CPI-Maoist accused Bhagat of being responsible for an incident that resulted in the death of nine Maoists on April 16, 2013."
311,2013,4,27,India,Unknown,1,Assassination,Journalists & Media,India,People's Liberation Army (India),"According to a letter found on the victim's person, the People's Liberation Front of India, a Maoist faction, claimed responsibility for the incident, stating that they punished Jitender Singh for disobeying their ordinances regarding welfare work."
312,2012,6,15,India,Garo Hills,1,Armed Assault,Private Citizens & Property,India,Garo National Liberation Army,"According to a media source, the victim was a former member of the Garo National Liberation Army and was killed in retaliation for leaving the group.  However, Sohan Shira, a leader in the Garo National Liberation Army, stated in a note that the victim was killed because he failed to reimburse the group for the cost of an AK-47, which he instead handed over to police."
313,2012,6,13,Mexico,Xalapa,1,Hostage Taking (Kidnapping),Journalists & Media,Mexico,Zetas,"According to a note left on the corpse of the victim, the Zetas killed the victim because he had betrayed the group.  Sources speculated that the victim, a newspaper journalist, may have been killed because of his reporting on drug crime."
314,2012,12,7,India,Kanker,1,Armed Assault,Private Citizens & Property,India,Maoists,"According to a pamphlet found at the scene of the attack, Maoists claimed responsibility for the incident, stating that they targeted the victim because he was a police informant."
315,2012,3,24,India,Turekela,1,Facility/Infrastructure Attack,Business,India,Maoists,"According to a source, immediately prior to the attack, Maoists asked local village women if the presence of a liquor manufacturor was a disturbance. When women stated it was, the Maoists burned the liquor manufacturing unit down.  Maoists also left pamphlets at the scene warning against bringing liquor back to the village."
316,2012,6,18,Yemen,Aden,1,Assassination,Military,Yemen,Al-Qaida in the Arabian Peninsula (AQAP),"According to a spokesperson for Al-Qa'ida in the Arabian Peninsula (AQAP), the attack was carried out in revenge for an army offensive against the group in southern Yemen and the targeting of the group's senior members in air strikes.  The spokesperson also noted that the target was the military leader of the offensive in southern Yemen."
317,1999,6,14,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Iraqi Islamic Vanguards for National Salvation (IIVNS),"According to a statement issued by the group claiming responsibility for the attack, the bombing was intended ""to avenge the innocent blood of the martyrs of Islam."""
318,2013,4,23,Libya,Tripoli,1,Bombing/Explosion,Government (Diplomatic),France,Al-Qaida in the Islamic Maghreb (AQIM),"According to a statement posted online, Al-Qa ida in the Lands of the Islamic Maghreb (AQLIM) claimed responsibility for the incident, stating that they executed the attack in retaliation for France's recent intervention in Mali."
319,2013,2,6,Syria,Al-Buraq,1,Bombing/Explosion,Military,Syria,Al-Nusrah Front,"According to a statement published on the Internet, Al-Nusrah Front claimed responsibility for the attack, stating that it was ""in revenge for the Muslim children of the Sunni community who suffered from the crimes of the Alawites and their collaborators."""
320,2013,2,7,Spain,Madrid,0,Bombing/Explosion,Religious Figures/Institutions,Spain,Mateo Morral Insurrectionist Commandos,"According to a statement published on the Internet, the anarchist group, Mateo Morral Insurrectionist Commandos, claimed responsibility, stating that it wanted to attack places that the Spanish Borbon monarchy considers sacred."
321,2013,7,12,Somalia,Mogadishu,1,Bombing/Explosion,Business,Somalia,Al-Shabaab,"According to a string of Twitter messages, Al-Shabaab claimed responsibility for the incident, stating that the attack was part of their ""Ramadan offensive"" campaign."
322,2013,3,6,Syria,Jamlah,1,Hostage Taking (Kidnapping),Government (Diplomatic),International,Yarmouk Martyrs Brigade,"According to a Syrian rebel operative, the UN Peacekeepers were taken hostage in order to secure the removal of Bashar al-Assad's forces from Jamlah."
323,2012,12,22,Pakistan,Peshawar,1,Bombing/Explosion,Government (General),Pakistan,Tehrik-i-Taliban Pakistan (TTP),"According to a Tehrik-i-Taliban Pakistan (TTP) spokesperson, the victim was targeted in retaliation for the killing of Sheikh Naseeb Khan, a senior member of TTP."
324,2013,3,12,Yemen,Sirwah district,1,Bombing/Explosion,Utilities,Yemen,Tribesmen,"According to a tribal source, the pipeline was targeted because tribesmen in conflict with the Yemeni government are demanding the reinstatement of soldiers discharged after the civil war and better government services, as well as compensation from a special government Grievance Committee.  However, a government source stated that attacks are not being carried out by tribesmen, but instead by Al-Qa ida in the Arabian Peninsula (AQAP) in an attempt to harm the government."
325,2012,12,19,Nigeria,Rimi,1,Hostage Taking (Kidnapping),Business,France,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),"According to an emailed statement, Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan) claimed responsibility for the abduction, stating that it was carried out in response to French military intervention in Mali."
326,2012,12,7,Greece,Athens,1,Bombing/Explosion,Government (General),Greece,Militant Minority (Greece),"According to an online statement, Combative Minority claimed responsibility for the incident, stating that they targeted Giannis Papantoniou because he was a former member of the government and corrupt."
327,2013,7,29,Iraq,Kut,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
328,2013,7,29,Iraq,Madain,1,Bombing/Explosion,Business,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
329,2013,7,29,Iraq,Baqubah,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
330,2013,7,29,Iraq,Basra,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
331,2013,7,29,Iraq,Baiji,1,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
332,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Business,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
333,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
334,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
335,2013,7,29,Iraq,Rabia,1,Bombing/Explosion,Military,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
336,2013,7,29,Iraq,Mahmudiyah,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
337,2013,7,29,Iraq,Anah,1,Bombing/Explosion,Police,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
338,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
339,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
340,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
341,2013,7,29,Iraq,Baghdad,1,Bombing/Explosion,Private Citizens & Property,Iraq,Islamic State of Iraq and the Levant (ISIL),"According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers""."
